Unnamed: 0,name,subscribers,view_count,view_mean,video_count,category,youtube_since,view_ratio,coef_subscribers_viewmean
123,Ch3Thailand,33200000,29307952472,67254,94022,Entertainment,2014,882.7696527710843,0.3682946839412337
124,CVS 3D Rhymes & Kids Songs,33100000,20077711451,544941851,338,Education,2008,606.5773852265861,1.097713668156555
126,Rajshri,32900000,14510271430,3049112,3614,Music,2006,441.04168480243163,0.050865397833699845
127,MrBeast Gaming,32500000,5717138854,14578158,139,Gaming,2020,175.91196473846153,0.1714734475140664
128,BabyBus - Kids Songs and Cartoons,32500000,26160096710,95289,2070,Education,2016,804.9260526153846,1.097713668156555
129,Eros Now Music,32500000,17694383601,445224,9862,Entertainment,2007,544.4425723384616,0.3682946839412337
130,DisneyMusicVEVO,32300000,28016267490,1692917,2031,Music,2010,867.3767024767802,0.050865397833699845
131,The Weeknd,32200000,22715574783,507944,136,Music,2011,705.4526330124223,0.050865397833699845
132,Ricis Official,32200000,5875557361,629792,2562,People&Blogs,2016,182.4707254968944,0.7402969231068015
133,rezendeevil,32000000,12999274006,3233126,11839,Gaming,2012,406.2273126875,0.1714734475140664
134,Mr Bean,31900000,10501448905,148447,3012,Shows,2006,329.19902523510973,-0.03585656666974111
135,GENIAL,31800000,6718451861,484735,6474,Howto&Style,2017,211.27207110062892,0.024133821284519068
136,SMTOWN,31700000,27012468998,23037590,4124,Music,2006,852.1283595583596,0.050865397833699845
137,JustinBieberVEVO,31600000,26399292531,659507,204,Music,2009,835.4206497151898,0.050865397833699845
138,KAROL G,31500000,17901306996,1068016,130,Music,2013,568.2954601904762,0.050865397833699845
139,Dream,31500000,2941619217,12796549,116,Gaming,2014,93.38473704761904,0.1714734475140664
141,Worldwide Records Bhojpuri,31400000,16259055327,629624,6361,Music,2012,517.8043097770701,0.050865397833699845
143,WowKidz,31300000,16649625121,135913,4130,Film&Animation,2015,531.9369048242811,0.5261173000667103
144,GMA  Network,31100000,18249642358,1151680,84739,Entertainment,2006,586.8052205144694,0.3682946839412337
145,MR. INDIAN HACKER,31100000,5579729272,4576400,914,Science&Technology,2012,179.41251678456592,0.40317098133125906
146,The Tonight Show Starring Jimmy Fallon,31100000,17068223466,105556,8930,Comedy,2006,548.8174747909968,0.6820464845369754
147,Lucas and Marcus,30900000,11079583776,3448617,1237,Entertainment,2011,358.56258174757284,0.3682946839412337
148,Peppa Pig - Official Channel,30800000,22499393068,74081,3153,Film&Animation,2013,730.4997749350649,0.5261173000667103
149,ImagineDragons,30500000,16503182529,312887,87,Music,2009,541.0879517704918,0.050865397833699845
150,Trap Nation,30400000,13952741649,343629,2685,Music,2012,458.97176476973686,0.050865397833699845
151,AH,30300000,4293298018,1765073,2115,Entertainment,2014,141.69300389438945,0.3682946839412337
154,TheDonato,30200000,6014247429,1722648,2932,Entertainment,2015,199.14726586092715,0.3682946839412337
155,Round2hell,30200000,3089406439,25248803,67,Comedy,2016,102.29822645695364,0.6820464845369754
156,StarPlus,29800000,24635162341,563973,38293,Entertainment,2006,826.6833000335571,0.3682946839412337
157,Zee News,30000000,16213756629,435572,173839,News&Politics,2007,540.4585543,-0.00793467772677302
158,Little Angel: Nursery Rhymes & Kids Songs,30000000,22297259817,221153,1294,Education,2015,743.2419939,1.097713668156555
159,Spinnin' Records,30000000,21079270710,282908,11340,Music,2007,702.642357,0.050865397833699845
160,ÙÙØ§Ø© Ø·ÙÙØ± Ø§ÙØ¬ÙØ© | toyoraljanahtv,30000000,27422415683,443243,3233,Entertainment,2008,914.0805227666667,0.3682946839412337
162,Talking Tom,30000000,15052645302,1253468,510,Comedy,2010,501.7548434,0.6820464845369754
164,Shawn Mendes,29900000,12675848814,875052,133,Music,2011,423.9414319063545,0.050865397833699845
165,jacksepticeye,29700000,16159258237,3093600,5108,Gaming,2007,544.0827689225589,0.1714734475140664
166,ashish chanchlani vines,29600000,4415589461,16792737,151,Comedy,2009,149.1753196283784,0.6820464845369754
167,Ultra Records,29500000,17083090297,91608,4849,Music,2006,579.0878066779661,0.050865397833699845
169,Maluma,29200000,21004661218,458143,24,Music,2018,719.3377129452055,0.050865397833699845
170,AuronPlay,29200000,4063754634,3095182,404,Comedy,2006,139.16967924657536,0.6820464845369754
171,AboFlah,29100000,4293787085,7333524,624,Gaming,2016,147.552820790378,0.1714734475140664
172,infobells - Tamil,28700000,17764332286,102037463,537,Education,2014,618.9662817421603,1.097713668156555
173,BETER BÃCÃK,28700000,16706329760,478604,2353,,2012,582.1020822299652,0.0
174,The Late Late Show with James Corden,28400000,10218100065,2870779,5895,Entertainment,2006,359.79225580985917,0.3682946839412337
175,YOLO AVENTURAS,28700000,8684226924,3085243,1553,People&Blogs,2018,302.58630397212545,0.7402969231068015
176,Aditya Music India,28200000,25485253714,2515144,21422,Music,2008,903.7324012056738,0.050865397833699845
177,Enaldinho,27900000,11084679547,1136213,3527,Comedy,2012,397.3003421863799,0.6820464845369754
178,Drake,28000000,15008192921,5307951,58,Music,2009,536.0068900357143,0.050865397833699845
180,Aditya Movies,27800000,9768078332,16693908,5251,Movies,2012,351.36972417266185,0.0
181,Bounce Patrol - Kids Songs,27800000,20786783066,653431529,270,Music,2013,747.7260095683454,0.050865397833699845
182,Frost Diamond,27500000,6657280616,16488938,2667,Gaming,2014,242.0829314909091,0.1714734475140664
183,infobells - Telugu,27700000,14557231115,41378230,489,Education,2014,525.5318092057762,1.097713668156555
184,Sandeep Maheshwari,27600000,2253188266,1319032,568,People&Blogs,2012,81.63725601449275,0.7402969231068015
185,Goldmines Dishoom,27500000,8462842808,3760594,3760,Film&Animation,2016,307.73973847272725,0.5261173000667103
186,Masha y el Oso,27400000,13057439279,557814,1054,Film&Animation,2016,476.54887879562045,0.5261173000667103
187,Zhong,27500000,14136696046,7523373,1432,Entertainment,2015,514.0616744,0.3682946839412337
188,Shemaroo Movies,27500000,7343463605,191848,2853,Entertainment,2011,267.0350401818182,0.3682946839412337
189,Wiz Khalifa,27400000,13236158494,16288878,664,Music,2008,483.0714778832117,0.050865397833699845
190,toycantando,27400000,15468916179,441745,576,Music,2009,564.5589846350365,0.050865397833699845
191,HUM TV,27000000,22836212872,782696,101169,Entertainment,2011,845.785661925926,0.3682946839412337
192,Nick Jr.,27000000,22190890718,100710,5329,Film&Animation,2012,821.8848414074074,0.5261173000667103
193,ToyPuddingTV,27100000,15862848154,74760647,2437,Entertainment,2014,585.3449503321033,0.3682946839412337
194,JYP Entertainment,27000000,19468696854,2139256,1693,Music,2008,721.0628464444444,0.050865397833699845
195,â Kids Roma Show,26900000,10052903767,1840463,634,People&Blogs,2015,373.71389468401486,0.7402969231068015
196,Jess No Limit,27000000,3351922767,1206694,2030,Entertainment,2017,124.14528766666666,0.3682946839412337
197,DanTDM,26900000,19284336552,11281651,3656,Gaming,2012,716.8898346468402,0.1714734475140664
198,Crazy XYZ,26900000,7518248392,2991506,1233,Entertainment,2017,279.48878780669145,0.3682946839412337
199,Renato Garcia YT,26700000,7806918439,905243,3864,Entertainment,2011,292.39394902621723,0.3682946839412337
200,enchufetv,26700000,10292409745,825088,948,Comedy,2011,385.48351104868914,0.6820464845369754
201,Brent Rivera,26400000,6336498248,10782856,542,Comedy,2009,240.01887303030304,0.6820464845369754
202,Netflix,26400000,6923011091,2684549,6344,Entertainment,2012,262.2352685984848,0.3682946839412337
203,WORLDSTARHIPHOP,26400000,20234388656,173860,6826,Music,2008,766.4541157575758,0.050865397833699845
204,BB Ki Vines,26200000,4719241758,11252692,190,Entertainment,2015,180.12373122137404,0.3682946839412337
205,Raffy Tulfo in Action,26200000,14837393397,333828,9826,News&Politics,2016,566.3127250763358,-0.00793467772677302
206,Shorts Break,26100000,17591975147,10948386,425,Comedy,2021,674.0220362835249,0.6820464845369754
207,1MILLION Dance Studio,26000000,7822252774,573654,5467,Entertainment,2015,300.85587592307695,0.3682946839412337
208,BeyoncÃ©,25900000,17167555888,786875,238,Music,2005,662.8399956756757,0.050865397833699845
209,D Billions,25900000,31098676996,198571,718,,2019,1200.7211195366795,0.0
210,MarÃ­lia MendonÃ§a,25900000,18345546272,2377343,125,Music,2013,708.3222498841699,0.050865397833699845
211,VanossGaming,25800000,15454006925,442271,1729,Gaming,2011,598.9925164728683,0.1714734475140664
212,Goldmines Bollywood,25800000,8438010092,1660380,3444,Film&Animation,2015,327.0546547286822,0.5261173000667103
213,LosPolinesios,25700000,7422909284,1503690,967,People&Blogs,2012,288.82915501945524,0.7402969231068015
214,TaylorSwiftVEVO,25700000,25169065454,16069898,264,Music,2009,979.3410682490272,0.050865397833699845
215,David Guetta,25500000,17528551489,9352343,734,Music,2009,687.3941760392157,0.050865397833699845
216,Nicki Minaj,25500000,10098343068,2215427,41,Music,2013,396.01345364705884,0.050865397833699845
217,Dushyant kukreja,25200000,16264123131,4437713,837,Entertainment,2015,645.401711547619,0.3682946839412337
218,Post Malone,25200000,14075494599,709535,72,Music,2011,558.5513729761905,0.050865397833699845
219,ZHC,25400000,2646354926,9735684,310,Film&Animation,2013,104.18720181102363,0.5261173000667103
220,Rans Entertainment,25100000,6335058567,2191858,3617,People&Blogs,2015,252.3927715936255,0.7402969231068015
221,Chris Brown,25100000,15306024829,765602,28,Music,2006,609.8017860159363,0.050865397833699845
222,WatchMojo.com,25100000,16270855375,60374,24421,Music,2007,648.24125,0.050865397833699845
224,RihannaVEVO,25100000,19302397258,70644905,118,Music,2009,769.0198110756972,0.050865397833699845
225,Gulshan Kalra,25000000,11931964002,11685396,526,Howto&Style,2018,477.27856008,0.024133821284519068
226,Coldplay,25000000,17010828645,1620571,388,Music,2010,680.4331458,0.050865397833699845
227,Indosiar,25000000,11600710527,494306,65573,Music,2013,464.02842108,0.050865397833699845
228,Smosh,25000000,10341770968,397504,1577,Comedy,2005,413.67083872,0.6820464845369754
229,TRANS7 OFFICIAL,24800000,13955791505,59577,87422,Entertainment,2014,562.7335284274194,0.3682946839412337
230,LankyBox,24700000,33122589391,4907677,8155,Comedy,2016,1340.995521902834,0.6820464845369754
231,Yuya,24800000,2587990308,1798679,672,Howto&Style,2009,104.3544479032258,0.024133821284519068
232,EminemVEVO,24800000,20298506449,907102,104,Music,2009,818.488163266129,0.050865397833699845
233,WB Kids,24700000,10780612396,813877,1981,People&Blogs,2015,436.46204032388664,0.7402969231068015
234,Beast Reacts,25000000,4034092372,9510273,241,People&Blogs,2016,161.36369488,0.7402969231068015
235,ABPLIVE,24700000,7724735681,1300980,175966,People&Blogs,2017,312.7423352631579,0.7402969231068015
236,KatyPerryVEVO,24700000,23613607058,822131,173,Music,2009,956.0164800809716,0.050865397833699845
237,The Lallantop,24700000,9989814589,581697,49031,News&Politics,2015,404.4459347773279,-0.00793467772677302
238,Anuel AA,24600000,14375383841,22104237,145,Music,2016,584.3651967886179,0.050865397833699845
239,Alan Chikin Chow,24600000,25486070433,33369543,801,Comedy,2020,1036.019123292683,0.6820464845369754
240,Chloe Ting,24600000,2957075598,385524,404,Howto&Style,2011,120.20632512195122,0.024133821284519068
241,1theK (ìëì¼ì´),24500000,23797187757,1231713,18253,Music,2011,971.313786,0.050865397833699845
242,Junya.ãããã,24300000,14934696016,2830381,5247,Entertainment,2020,614.5965438683128,0.3682946839412337
243,Amit Bhadana,24400000,2369314917,3426866,101,Entertainment,2012,97.10307036885246,0.3682946839412337
244,MrBeast 2,24800000,4128185559,38643361,115,People&Blogs,2020,166.45909512096773,0.7402969231068015
245,NichLmao,24300000,13187153717,5099122,815,People&Blogs,2018,542.6812229218107,0.7402969231068015
246,Super JoJo - Nursery Rhymes & Kids Songs,24200000,921572,432420,31,,2019,0.038081487603305784,0.0
247,DJ Snake,24100000,8326243160,606530,239,Music,2008,345.48726804979253,0.050865397833699845
248,KSI,24100000,5990717921,1551586,1252,Entertainment,2009,248.5775070954357,0.3682946839412337
250,MrBeast en EspaÃ±ol,24000000,2645059758,9898029,67,Entertainment,2021,110.21082325,0.3682946839412337
251,Mark Rober,24000000,3440756259,12463496,114,Science&Technology,2011,143.364844125,0.40317098133125906
252,Pen Movies,23900000,6475830673,11342243,1662,Film&Animation,2014,270.95525828451883,0.5261173000667103
253,netd mÃ¼zik,23900000,55410619526,2611623,22909,Music,2014,2318.435963430962,0.050865397833699845
254,Collins Key,23900000,6564535692,2761744,257,Entertainment,2011,274.6667653556485,0.3682946839412337
255,Dan Rhodes,23900000,16788390150,73145167,1634,Entertainment,2015,702.4431025104602,0.3682946839412337
258,James Charles,23800000,3975812532,2735400,486,Entertainment,2015,167.05094672268908,0.3682946839412337
259,America's Got Talent,23700000,3253048059,3965406,1801,Entertainment,2006,137.2594117721519,0.3682946839412337
260,Ninja,23700000,2530290533,339806,1671,Gaming,2011,106.76331362869199,0.1714734475140664
261,Mister Max,23700000,15451468370,1014976,1091,People&Blogs,2014,651.9606907172996,0.7402969231068015
262,Troom Troom,23700000,10298283023,148853,2325,Howto&Style,2015,434.5267098312236,0.024133821284519068
263,Enrique Iglesias,23700000,17469719296,217310,439,Music,2007,737.1189576371308,0.050865397833699845
264,Preston,23700000,8051082297,5539466,3982,Gaming,2012,339.70811379746834,0.1714734475140664
265,Venus Entertainment,23600000,5563640165,1495341,1886,Entertainment,2010,235.74746461864407,0.3682946839412337
266,Logan Paul,23600000,5982334363,2965269,718,Entertainment,2015,253.48874419491526,0.3682946839412337
267,Goldmines Movies,23600000,5528739904,26758011,4723,Film&Animation,2013,234.26864,0.5261173000667103
268,NickyJamTV,23500000,15777667568,2293302,377,Music,2012,671.3901092765957,0.050865397833699845
269,Jelly,23500000,14709863235,541158,6004,Gaming,2014,625.9516270212766,0.1714734475140664
270,FaZe Rug,23500000,7257412191,2787660,2140,Gaming,2012,308.82605068085104,0.1714734475140664
272,Peppa Pig EspaÃ±ol Latino - Canal Oficial,23400000,7835563400,1367345,1200,Film&Animation,2014,334.8531367521368,0.5261173000667103
273,Miss Katy,23400000,14589950134,551102,1034,People&Blogs,2014,623.5021424786324,0.7402969231068015
274,Sesame Street,23300000,22274502780,568356,3626,Entertainment,2006,955.987243776824,0.3682946839412337
276,Juan De Dios Pantoja,23300000,2065123921,4751023,218,Entertainment,2014,88.63192793991416,0.3682946839412337
277,Valentina Pontes ofc,23300000,7875321396,43744309,1276,Film&Animation,2014,337.9966264377682,0.5261173000667103
279,Lady Gaga,23100000,15492787036,533022,172,People&Blogs,2008,670.6834214718615,0.7402969231068015
280,Alejo Igoa,23100000,10308989899,4770428,762,Comedy,2014,446.276619004329,0.6820464845369754
281,GMM GRAMMY OFFICIAL,23000000,25385738038,721230,15158,Music,2010,1103.7277407826086,0.050865397833699845
283,DrossRotzank,22900000,5987974278,998830,1583,Entertainment,2006,261.4835929257642,0.3682946839412337
284,Technical Guruji,23000000,3346220406,872241,4972,Science&Technology,2015,145.48784373913043,0.40317098133125906
285,TED,22900000,2528511666,4033917,4399,People&Blogs,2006,110.41535659388646,0.7402969231068015
286,PANDA BOI,22400000,14653107165,71125152,906,Entertainment,2020,654.1565698660714,0.3682946839412337
287,Wave Music Bhojpuri,22900000,12804053058,73445758,22345,Music,2014,559.1289544978166,0.050865397833699845
288,White Hill Music,22800000,10782284086,3274412,5600,Entertainment,2014,472.90719675438595,0.3682946839412337
289,Spider Slack,22600000,13010378655,18534744,823,Comedy,2020,575.680471460177,0.6820464845369754
290,Daniel LaBelle,22700000,12174819269,29253181,277,Comedy,2009,536.33565061674,0.6820464845369754
291,BabyBus - Canciones Infantiles & Videos para NiÃ±os,22700000,13038912679,2753322,1204,Education,2018,574.4014396035242,1.097713668156555
292,The Chainsmokers,22500000,14081130529,375382,174,Music,2012,625.8280235111112,0.050865397833699845
293,mmoshaya,22500000,17385379883,3999939,1183,People&Blogs,2010,772.6835503555556,0.7402969231068015
294,Like Nastya PRT,22500000,11409108098,2674537,636,Entertainment,2019,507.0714710222222,0.3682946839412337
295,Ultra Movie Parlour,22500000,5388042173,3984356,1586,Movies,2011,239.4685410222222,0.0
296,Sia,22500000,13231436497,325064,171,Music,2007,588.0638443111111,0.050865397833699845
297,toyorbabytv,22300000,15936289579,22803295,1138,Music,2012,714.6318196860987,0.050865397833699845
299,Paulo Londra,22300000,7929711798,2586841,58,Music,2016,355.59245730941706,0.050865397833699845
300,Goldmines Cineplex,22300000,2359288681,1867980,3262,Film&Animation,2015,105.79769869955157,0.5261173000667103
301,Smile Family,22300000,8619914110,14452020,495,People&Blogs,2018,386.543233632287,0.7402969231068015
302,Tilak,22100000,8969902843,749210,5964,Film&Animation,2020,405.8779566968326,0.5261173000667103
303,Kids TV - Nursery Rhymes And Baby Songs,22100000,12951614329,687442,3736,Shows,2013,586.045897239819,-0.03585656666974111
304,SSundee,22200000,13552710736,830890,3275,Gaming,2009,610.4824655855856,0.1714734475140664
305,Alan Becker,22200000,5173199641,8100062,155,Film&Animation,2006,233.02701085585585,0.5261173000667103
306,Vania Mania Kids,22000000,9615203769,173642,964,People&Blogs,2015,437.05471677272726,0.7402969231068015
307,FGTeeV,22000000,23827000846,289334,1706,Gaming,2013,1083.045493,0.1714734475140664
308,Sun TV,22000000,19737796464,535695,55322,People&Blogs,2016,897.1725665454545,0.7402969231068015
309,That Little Puff,22000000,19100600776,9262799,735,Pets&Animals,2020,868.2091261818182,0.0
310,Charlie Puth,21900000,9751305188,4906864,152,Music,2009,445.26507707762556,0.050865397833699845
311,Kinder Spielzeug Kanal (Kidibli),21800000,10913339548,16092103,960,Entertainment,2015,500.61190587155966,0.3682946839412337
312,OneDirectionVEVO,21800000,12061792661,2542180,266,Music,2010,553.2932413302752,0.050865397833699845
313,Disney LatinoamÃ©rica,21700000,20472969392,74273,8082,Entertainment,2007,943.4548106912442,0.3682946839412337
314,Tsuriki Show,21400000,29779601940,13837578,2648,Entertainment,2019,1391.5701841121495,0.3682946839412337
316,National Geographic,21600000,5549356120,546796,10106,Science&Technology,2006,256.9146351851852,0.40317098133125906
317,Dua Lipa,21600000,11045300122,2054373,163,Music,2011,511.3564871296296,0.050865397833699845
318,unknown boy varun,21800000,8723101348,6699676,410,Music,2016,400.1422636697248,0.050865397833699845
319,Netflix India,21400000,7350895949,6010474,3441,People&Blogs,2016,343.4998107009346,0.7402969231068015
320,Eva Bravo Play,21500000,9194732224,343445,216,Entertainment,2019,427.6619639069767,0.3682946839412337
321,Rotana,21500000,18825808379,3250365,8339,Music,2012,875.618994372093,0.050865397833699845
322,Tlnovelas,21200000,14683610893,913555,37764,News&Politics,2013,692.6231553301886,-0.00793467772677302
323,Becky G,21200000,10473715647,3185486,78,Music,2011,494.0431908962264,0.050865397833699845
324,Tekashi 6ix9ine,21100000,5737070924,11079327,34,People&Blogs,2018,271.89909592417064,0.7402969231068015
325,Baim Paula,21100000,4481647112,269794,2254,People&Blogs,2016,212.40033706161137,0.7402969231068015
326,Tasty,21100000,5724904846,5317930,4630,Howto&Style,2016,271.32250454976304,0.024133821284519068
327,Vlad and Niki ESP,21100000,8142491340,462932,496,,2018,385.900063507109,0.0
328,nigahiga,21100000,4377268639,642624,403,Entertainment,2006,207.45349,0.3682946839412337
329,DUDU e CAROL,21100000,9273545856,46064240,2934,Autos&Vehicles,2013,439.5045429383886,0.0
330,Village Cooking Channel,21000000,5579812550,5304623,213,Howto&Style,2018,265.70535952380953,0.024133821284519068
331,Zach Choi ASMR,21000000,5464430824,2643174,869,People&Blogs,2014,260.2109916190476,0.7402969231068015
332,GMA Public  Affairs,21000000,11125462898,776644,30391,Entertainment,2009,529.7839475238095,0.3682946839412337
333,Sourav Joshi Vlogs,20900000,8875359585,4804414,1327,People&Blogs,2019,424.6583533492823,0.7402969231068015
334,Infinite,21000000,5028293758,4280853,1594,Entertainment,2014,239.4425599047619,0.3682946839412337
335,The Royalty Family,20800000,6005965969,3610840,720,People&Blogs,2017,288.74836389423075,0.7402969231068015
336,invictor,20900000,8215171206,1565591,2239,Gaming,2013,393.07039263157895,0.1714734475140664
337,Fede Vigevani,20900000,7088019989,5645883,1034,Howto&Style,2009,339.1397123923445,0.024133821284519068
338,Ben Azelart,20900000,4099556966,12291576,286,Film&Animation,2014,196.15105100478468,0.5261173000667103
339,Brave Wilderness,20800000,4909466491,664329,982,Pets&Animals,2014,236.03204283653847,0.0
340,Khan GS Research Centre,20800000,2027122165,2609351,359,Education,2019,97.45779639423077,1.097713668156555
341,Lyrical Lemonade,20800000,10500471709,12449268,417,Entertainment,2013,504.830370625,0.3682946839412337
342,Canal Canalha,20800000,1842203043,1522435,287,Comedy,2011,88.56745399038462,0.6820464845369754
343,Dr. Vivek Bindra: Motivational Speaker,20800000,1668224512,488801,843,Education,2013,80.20310153846154,1.097713668156555
344,Fatos Desconhecidos,20700000,3746858714,2931560,6105,Entertainment,2013,181.00766734299518,0.3682946839412337
345,Romeo Santos,20700000,16969593844,1268309,54,Music,2005,819.7871422222222,0.050865397833699845
346,5-Minute Crafts DIY,20700000,5046585617,361803,4879,Howto&Style,2018,243.79640661835748,0.024133821284519068
347,Stokes Twins,20600000,4145548064,13264387,252,People&Blogs,2008,201.2401972815534,0.7402969231068015
348,Sidhu Moose Wala,20500000,5958076656,40546461,113,Music,2017,290.63788565853656,0.050865397833699845
349,Kurzgesagt â In a Nutshell,20600000,2319235975,3286875,181,Education,2013,112.58427063106797,1.097713668156555
351,Avicii,20500000,10170387914,958969,153,Music,2009,496.1164836097561,0.050865397833699845
352,Mnet K-POP,20500000,14806215599,1303820,32329,Entertainment,2006,722.2544194634146,0.3682946839412337
353,NBA,20600000,12464762833,1485452,47252,Sports,2005,605.0855744174758,0.15890168118858608
354,Deddy Corbuzier,20500000,4862634916,929383,1333,Entertainment,2009,237.20170321951218,0.3682946839412337
355,SMOL,20400000,21188248582,10744917,3401,People&Blogs,2021,1038.639636372549,0.7402969231068015
356,LazarBeam,20400000,8727873610,6537334,1322,Gaming,2015,427.8369416666667,0.1714734475140664
358,Rafa & Luiz,20400000,7583813824,3990150,2772,Entertainment,2015,371.7555796078431,0.3682946839412337
359,Totoy kids - PortuguÃªs,20300000,1745829866,13670935,193,Film&Animation,2014,86.00147123152709,0.5261173000667103
360,Linkin Park,20300000,13120877063,7152147,715,Music,2006,646.3486237931035,0.050865397833699845
